CentreCode,CityCode,CentreName
6173,651,BITS Pilani Dubai Campus
7001,701,iON Digital Zone iDZ Chandigarh
7002,701,Chandigarh Techno World
7003,701,SPR Exam Solution Pvt.Ltd.
7004,702,iON Digital Zone iDZ Shahpur
7005,704,iON Digital Zone iDZ Juglan (Centre A)
7006,704,iON Digital Zone iDZ Juglan (Centre B)
7007,704,OM Institute Of Technology and Management
7008,705,iON Digital Zone iDZ Sector 5
7009,705,Geeta Institute of Management And Technology Kanipla
7010,706,iON Digital Zone iDZ Panipat
7011,707,iON Digital Zone iDZ Hamirpur
7012,708,Thakur Kanshi Ram Web Solution
7013,709,Shimla Online Exam Solutions
7014,710,iON Digital Zone iDZ Chitoura Road (Centre A)
7015,710,iON Digital Zone iDZ Chitoura Road (Centre B)
7016,711,iON Digital Zone iDZ Albert Road
7017,712,iON Digital Zone iDZ Bhucho kalan
7018,713,iON Digital Zone iDZ 1 Paragpur
7019,714,iON Digital Zone iDZ Ludhiana
